level1	level2	level3	pathway_id	KO	gene	KO_name	EC
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K13563	btrH	ribostamycin:4-(gamma-L-glutamylamino)-(S)-2-hydroxybutanoyl-[BtrI acyl-carrier protein] 4-(gamma-L-glutamylamino)-(S)-2-hydroxybutanoate transferase	2.3.2.19
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K13564	btrG	gamma-L-glutamyl-butirosin B gamma-L-glutamyl cyclotransferase	4.3.2.6
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20569	btrE	NAD+-dependent dehydrogenase	1.1.1.-
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20570	btrF	NADPH-dependent reductase	1.1.1.-
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20571	kanC	dehydrogenase	1.1.1.-
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20572	kanD	aminotransferase	2.6.1.-
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20573	kanE, kanM2	2'-deamino-2'-hydroxyneamine 1-alpha-D-kanosaminyltransferase	2.4.1.301
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20574	kanJ, kacB	kanamycin B dioxygenase	1.14.11.37
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20152	kanK, kacC	2'-dehydrokanamycin reductase	1.1.1.355
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20575	aprD4	radical SAM diol-dehydratase	NA
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20576	aprD3	NADP-dependent dehydrogenase	1.1.1.-
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20577	aprQ	paromamine/lividamine 6'-oxidase	1.1.3.43 1.1.3.-
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20578	tobM2	glycosyltransferase	2.4.1.-
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20579	tobZ	nebramycin 5' synthase	6.1.2.2
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20580	livL, parL	phosphoribosyltransferase	2.4.2.-
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20581	livP, parP	phosphatase	3.1.3.-
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20582	livF, parF	N-acetylglucosaminyltransferase	2.4.1.-
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20583	livD, parD	deacetylase	3.5.1.-
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20584	livQ, parQ	6'''-hydroxyparomomycin oxidase	1.1.3.-
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20585	livB, parB	paromomycin transaminase	2.6.1.-
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20586	livW	oxidoreductase	NA
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20587	livY	dehydrogenase	NA
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20588	livN, parN	5'''-epimerase	5.1.3.-
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20589	genM2, gtmE, gntD	paromamine D-xylosyltransferase	2.4.2.-
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20590	genD2, gtmC, gntC	gentamicin A2 dehydrogenase	1.1.1.-
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20591	genS2, gtmD, gntF	pyridoxal phosphate-dependent aminotransferase	2.6.1.-
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20592	genN	SAM-dependent 3''-N-methyltransferase	2.1.1.-
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20593	genD1, gtmI, gntE	cobalamin-dependent radical SAM methyltransferase	2.1.1.-
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20594	genK, gacD, gntK	gentamicin X2 methyltransferase	2.1.1.390
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20595	genQ, gacJ, gntX	gentamicin-X2/G418 6'-oxidase	NA
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20596	genB1, gacK, gntW	JI-20A/JI-20Ba transaminase	2.6.1.-
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20597	genB2	JI-20B transaminase / epimerase	2.6.1.-
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis	ko00524	K20598	genP, gntI	aminoglycoside phosphotransferase	NA
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K19969	acbC, salQ, valA, cetA	2-epi-5-epi-valiolone synthase	4.2.3.152
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K19979	acbM	2-epi-5-epi-valiolone 7-kinase	2.7.1.188
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K19974	acbO	2-epi-5-epi-valiolone 7-phosphate 2-epimerase	5.1.3.35
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K20424	acbL	2-epi-valiolone-7-phosphate 1-reductase	1.1.1.-
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K20425	acbN	cyclitol oxidoreductase	NA
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K20426	acbU	1-epi-valienol-7-phosphate kinase	2.7.-.-
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K20427	acbR, vldB	valienol-1-phosphate guanylyltransferase	2.7.7.91
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K00973	rfbA, rmlA, rffH	glucose-1-phosphate thymidylyltransferase	2.7.7.24
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K23144	K23144	UDP-N-acetylglucosamine diphosphorylase / glucose-1-phosphate thymidylyltransferase / UDP-N-acetylgalactosamine diphosphorylase / glucosamine-1-phosphate N-acetyltransferase / galactosamine-1-phosphate N-acetyltransferase	2.7.7.23 2.7.7.24 2.7.7.83 2.3.1.157 2.3.1.276
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K01710	rfbB, rmlB, rffG	dTDP-glucose 4,6-dehydratase	4.2.1.46
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K20428	acbV	dTDP-4-amino-4,6-dideoxy-D-glucose transaminase	2.6.1.33
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K20430	acbS	glycosyltransferase AcbS	2.4.-.-
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K19978	acbK	acarbose 7IV-phosphotransferase	2.7.1.187
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K20431	cetB, valD	2-epi-5-epi-valiolone epimerase	5.1.3.33
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K20432	valK	5-epi-valiolone dehydratase	4.2.1.-
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K20433	valC	C7-cyclitol 7-kinase	2.7.1.214
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K20434	valN	cyclitol reductase	NA
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K20435	valM	validone 7-phosphate aminotransferase	2.6.1.-
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K20436	valL, salC	validamine 7-phosphate valienyltransferase	2.5.1.135
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K20437	vldH	validoxylamine A 7'-phosphate phosphatase	3.1.3.101
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K20438	valG	validoxylamine A glucosyltransferase	2.4.1.338
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K21036	vldW	validamycin A dioxygenase	1.14.11.52
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K20439	salP	putative phosphohexomutase / phosphatase	NA
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K20440	salE	salbostatin 6'-phosphate phosphatase	3.1.3.-
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K20441	cetL	5-epi-valiolone oxidase	1.1.3.-
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K20442	cetM	2-keto-5-epi-valolone aminotransferase	2.6.1.-
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis	ko00525	K20443	cetD	cetoniacytone B acyltransferase	2.3.1.-
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K12701	novH	novobiocin biosynthesis protein NovH	NA
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K12702	novI, CYP163A	novobiocin biosynthesis protein NovI	NA
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K12703	novJ	novobiocin biosynthesis protein NovJ	NA
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K12704	novK	novobiocin biosynthesis protein NovK	NA
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K04517	tyrA2	prephenate dehydrogenase	1.3.1.12
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K14187	tyrA	chorismate mutase / prephenate dehydrogenase	5.4.99.5 1.3.1.12
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K00220	tyrC	cyclohexadieny/prephenate dehydrogenase	1.3.1.43 1.3.1.12
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K24018	K24018	cyclohexadieny/prephenate dehydrogenase / 3-phosphoshikimate 1-carboxyvinyltransferase	1.3.1.43 1.3.1.12 2.5.1.19
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K00812	aspB	aspartate aminotransferase	2.6.1.1
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K00813	aspC	aspartate aminotransferase	2.6.1.1
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K11358	yhdR	aspartate aminotransferase	2.6.1.1
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K00815	TAT	tyrosine aminotransferase	2.6.1.5
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K00817	hisC	histidinol-phosphate aminotransferase	2.6.1.9
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K00832	tyrB	aromatic-amino-acid transaminase	2.6.1.57
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K00838	ARO8	aromatic amino acid aminotransferase I / 2-aminoadipate transaminase	2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K12707	novQ, cloQ	4-hydroxyphenylpyruvate 3-dimethylallyltransferase	2.5.1.111
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K12708	novR, cloR	4-hydroxy-3-prenylphenylpyruvate oxygenase / 4-hydroxy-3-prenylbenzoate synthase	1.13.11.83 1.13.12.23
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K12709	novL, cloL, couL	8-demethylnovobiocic acid synthase	6.3.1.15
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K12705	novO, couO	8-demethylnovobiocic acid C8-methyltransferase	2.1.1.284
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K12711	novM, cloM, couM	L-demethylnoviosyl transferase	2.4.1.302
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K12712	novP, cloP, couP	demethyldecarbamoylnovobiocin O-methyltransferase	2.1.1.285
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K12713	novN	decarbamoylnovobiocin carbamoyltransferase	2.1.3.12
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K12714	clohal	clorobiocin biosynthesis protein Clo-hal	NA
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K12719	cloN4, couN4	L-proline---[L-prolyl-carrier protein] ligase	6.2.1.53
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K12720	cloN5, couN5	peptidyl carrier protein	NA
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K12721	cloN3, couN3	L-prolyl-[peptidyl-carrier protein] dehydrogenase	1.3.8.14
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K12723	cloN2	clorobiocin biosynthesis protein CloN2	NA
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K17626	cloN1	clorobiocin biosynthesis protein CloN1	NA
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K12722	cloN6, couN6	clorobiocin/coumermycin A biosynthesis protein CloN6/CouN6	NA
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis	ko00401	K12724	cloN7, couN7	clorobiocin/coumermycin A biosynthesis protein CloN7/CouN7	NA
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K20075	staO	tryptophan oxidase StaO	1.4.3.-
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K20076	staD	chromopyrrolic acid synthase	NA
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K20077	staC	flavin-dependent monooxygenase StaC	1.13.12.-
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K20078	staP	cytochrome P450 StaP	1.13.12.-
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K20079	staG	N-glycosyltransferase StaG	2.4.-.-
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K20080	staN	cytochrome P450 StaN	1.14.-.-
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K20081	staMA	N-methyltransferase StaMA	2.1.1.-
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K20082	staMB	O-methyltransferase StaMB	2.1.1.139
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K16438	evaD, eryBVII, aveBV, megDIV, staE	5-epimerase	5.1.3.-
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K20085	staK	dTDP-3-amino-4-oxo-2,3,6-trideoxy-L-allose reductase	1.1.1.-
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K20086	vioA	tryptophan oxidase VioA	1.4.3.-
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K20087	vioB	violacein biosynthesis protein VioB	NA
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K20088	vioE	violacein biosynthesis protein VioE	NA
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K20089	vioD	protodeoxyviolaceinate monooxygenase	1.14.13.217
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K20090	vioC	violacein synthase	1.14.13.224
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K14266	prnA, rebH, ktzQ	tryptophan 7-halogenase	1.14.19.9
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K19884	rebO	7-chloro-L-tryptophan oxidase	1.4.3.23
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K19885	rebD	dichlorochromopyrrolate synthase / catalase	1.21.98.2 1.11.1.6
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K19886	rebC	flavin-dependent monooxygenase RebC	1.13.12.17
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K19887	rebP	cytochrome P450 RebP	1.13.12.17
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K19888	rebG	4'-demethylrebeccamycin synthase	4.3.3.5
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K19889	rebM	demethylrebeccamycin-D-glucose O-methyltransferase	2.1.1.164
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K19981	prnB	monodechloroaminopyrrolnitrin synthase	NA
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K14257	ctcP, cts4, prnC	tetracycline 7-halogenase / FADH2 O2-dependent halogenase	1.14.19.49 1.14.19.-
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K19982	prnD	aminopyrrolnitrin oxygenase	1.14.13.-
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K18281	FTMA	brevianamide F synthase	6.3.2.-
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K14132	FTMPT1	tryprostatin B synthase	2.5.1.106
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K17475	FTMC, CYP5076C	tryprostatin B 6-hydroxylase	1.14.14.118
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K18280	FTMD	6-hydroxytryprostatin B O-methyltransferase	2.1.1.293
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K17827	FTME, CYP5066A	fumitremorgin C synthase	1.14.19.71
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K17826	FTMG, CYP5067A	fumitremorgin C monooxygenase	1.14.14.119
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K14134	FTMPT2	12alpha,13alpha-dihydroxyfumitremorgin C prenyltransferase	2.5.1.110
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K17825	FTMF	verruculogen synthase	1.14.11.38
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K18279	FTMPT3	verruculogen prenyltransferase	2.5.1.107
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K23888	ROQA	histidyltryptophyldiketopiperazine synthetase	6.3.2.-
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K21294	GLIC, ACLC, ROQR	gliotoxin/aspirochlorine/mycotoxins biosynthesis cytochrome P450 monooxygenase	1.-.-.-
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K23889	ROQD	roquefortine prenyltransferase	2.5.1.-
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K23890	ROQM	mycotoxins biosynthesis FAD-dependent monooxygenase	1.14.14.-
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K23891	ROQN	glandicoline B O-methyltransferase	2.1.1.-
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis	ko00404	K23892	ROQO	mycotoxins biosynthesis cytochrome P450 monooxygenase RoqO	1.14.14.-
Metabolism	Biosynthesis of other secondary metabolites	Phenazine biosynthesis	ko00405	K13063	phzE	2-amino-4-deoxychorismate synthase	2.6.1.86
Metabolism	Biosynthesis of other secondary metabolites	Phenazine biosynthesis	ko00405	K20261	phzD	trans-2,3-dihydro-3-hydroxyanthranilic acid synthase	3.3.2.15
Metabolism	Biosynthesis of other secondary metabolites	Phenazine biosynthesis	ko00405	K06998	phzF	trans-2,3-dihydro-3-hydroxyanthranilate isomerase	5.3.3.17
Metabolism	Biosynthesis of other secondary metabolites	Phenazine biosynthesis	ko00405	K20260	phzA_B	phenazine biosynthesis protein	NA
Metabolism	Biosynthesis of other secondary metabolites	Phenazine biosynthesis	ko00405	K20262	phzG	dihydrophenazinedicarboxylate synthase	1.10.3.16
Metabolism	Biosynthesis of other secondary metabolites	Phenazine biosynthesis	ko00405	K21103	phzM	phenazine-1-carboxylate N-methyltransferase	2.1.1.327
Metabolism	Biosynthesis of other secondary metabolites	Phenazine biosynthesis	ko00405	K20940	phzS	5-methylphenazine-1-carboxylate 1-monooxygenase	1.14.13.218
Metabolism	Biosynthesis of other secondary metabolites	Phenazine biosynthesis	ko00405	K21338	ppzP	5,10-dihydrophenazine-1-carboxylate 9-dimethylallyltransferase	2.5.1.121
Metabolism	Biosynthesis of other secondary metabolites	Phenazine biosynthesis	ko00405	K01657	trpE	anthranilate synthase component I	4.1.3.27
Metabolism	Biosynthesis of other secondary metabolites	Phenazine biosynthesis	ko00405	K01658	trpG	anthranilate synthase component II	4.1.3.27
Metabolism	Biosynthesis of other secondary metabolites	Phenazine biosynthesis	ko00405	K18000	pqsA	anthranilate-CoA ligase	6.2.1.32
Metabolism	Biosynthesis of other secondary metabolites	Phenazine biosynthesis	ko00405	K18003	pqsD	anthraniloyl-CoA anthraniloyltransferase	2.3.1.262
Metabolism	Biosynthesis of other secondary metabolites	Phenazine biosynthesis	ko00405	K20257	pqsE	2-aminobenzoylacetyl-CoA thioesterase	3.1.2.32
Metabolism	Biosynthesis of other secondary metabolites	Phenazine biosynthesis	ko00405	K18001	pqsB	2-heptyl-4(1H)-quinolone synthase subunit PqsB	2.3.1.230
Metabolism	Biosynthesis of other secondary metabolites	Phenazine biosynthesis	ko00405	K18002	pqsC	2-heptyl-4(1H)-quinolone synthase subunit PqsC	2.3.1.230
Metabolism	Biosynthesis of other secondary metabolites	Phenazine biosynthesis	ko00405	K17940	pqsH	2-heptyl-3-hydroxy-4(1H)-quinolone synthase	1.14.13.182
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis	ko00333	K21428	pigD	3-acetyloctanal synthase	2.2.1.12
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis	ko00333	K21778	pigE	3-acetyloctanal aminotransferase	2.6.1.-
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis	ko00333	K21779	pigB	2-methyl-3-n-amyl-dihydropyrrolel dehydrogenase	NA
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis	ko00333	K21780	pigI, redM, pltF	L-proline---[L-prolyl-carrier protein] ligase	6.2.1.53
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis	ko00333	K21781	pigG, redO	peptidyl carrier protein	NA
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis	ko00333	K21782	pigA, redW, pltE	L-prolyl-PCP dehydrogenase	1.3.8.14
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis	ko00333	K21783	pigJ, redX	beta-ketoacyl ACP synthase	2.3.1.-
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis	ko00333	K21784	pigH, redN	4-hydroxy-2,2'-bipyrrole-5-methanol synthase	NA
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis	ko00333	K21785	pigM, redV	4-hydroxy-2,2'-bipyrrole-5-methanol dehydrogenase	NA
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis	ko00333	K21786	pigF	4-hydroxy-2,2'-bipyrrole-5-carbaldehyde O-methyltransferase	2.1.1.-
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis	ko00333	K27675	redI	4-hydroxy-2,2'-bipyrrole-5-carbaldehyde O-methyltransferase	2.1.1.-
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis	ko00333	K21787	pigC, redH	prodigiosin/undecylprodigiosin synthetase	NA
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis	ko00333	K00645	fabD, MCAT, MCT1	[acyl-carrier-protein] S-malonyltransferase	2.3.1.39
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis	ko00333	K21788	redP	dodecanoy-ACP synthase	NA
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis	ko00333	K00059	fabG, OAR1	3-oxoacyl-[acyl-carrier protein] reductase	1.1.1.100
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis	ko00333	K00208	fabI	enoyl-[acyl-carrier protein] reductase I	1.3.1.9 1.3.1.10
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis	ko00333	K21789	redR	dodecanoy-ACP synthase	NA
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis	ko00333	K21790	redQ	acyl carrier protein	NA
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis	ko00333	K21791	redJ	thioesterase	NA
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis	ko00333	K21792	redL	polyketide synthase	NA
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis	ko00333	K21793	redK	oxidoreductase	NA
Metabolism	Biosynthesis of other secondary metabolites	Aflatoxin biosynthesis	ko00254	K11262	ACACA	acetyl-CoA carboxylase / biotin carboxylase 1	6.4.1.2 6.3.4.14 2.1.3.15
Metabolism	Biosynthesis of other secondary metabolites	Aflatoxin biosynthesis	ko00254	K01946	ACACB	acetyl-CoA carboxylase / biotin carboxylase 2	6.4.1.2 6.3.4.14 2.1.3.15
Metabolism	Biosynthesis of other secondary metabolites	Aflatoxin biosynthesis	ko00254	K15316	PKSA	noranthrone synthase	2.3.1.221
Metabolism	Biosynthesis of other secondary metabolites	Aflatoxin biosynthesis	ko00254	K17643	HYPC	noranthrone monooxygenase	1.13.12.20
Metabolism	Biosynthesis of other secondary metabolites	Aflatoxin biosynthesis	ko00254	K17644	AFLD, NOR-1	norsolorinic acid ketoreductase	1.1.1.349
