Pathway	Ko	Name
ko00020	K00382	Citrate cycle (TCA cycle)
ko00020	K00174	Citrate cycle (TCA cycle)
ko00020	K00175	Citrate cycle (TCA cycle)
ko00020	K00177	Citrate cycle (TCA cycle)
ko00020	K00176	Citrate cycle (TCA cycle)
ko00020	K01902	Citrate cycle (TCA cycle)
ko00020	K01903	Citrate cycle (TCA cycle)
ko00020	K01899	Citrate cycle (TCA cycle)
ko00020	K01900	Citrate cycle (TCA cycle)
ko00020	K18118	Citrate cycle (TCA cycle)
ko00020	K00234	Citrate cycle (TCA cycle)
ko00020	K00235	Citrate cycle (TCA cycle)
ko00020	K00236	Citrate cycle (TCA cycle)
ko00020	K00237	Citrate cycle (TCA cycle)
ko00020	K25801	Citrate cycle (TCA cycle)
ko00020	K00239	Citrate cycle (TCA cycle)
ko00020	K00240	Citrate cycle (TCA cycle)
ko00020	K00241	Citrate cycle (TCA cycle)
ko00020	K00242	Citrate cycle (TCA cycle)
ko00020	K18859	Citrate cycle (TCA cycle)
ko00020	K18860	Citrate cycle (TCA cycle)
ko00020	K00244	Citrate cycle (TCA cycle)
ko00020	K00245	Citrate cycle (TCA cycle)
ko00020	K00246	Citrate cycle (TCA cycle)
ko00020	K00247	Citrate cycle (TCA cycle)
ko00020	K00233	Citrate cycle (TCA cycle)
ko00020	K25995	Citrate cycle (TCA cycle)
ko00020	K25996	Citrate cycle (TCA cycle)
ko00020	K26318	Citrate cycle (TCA cycle)
ko00020	K01676	Citrate cycle (TCA cycle)
ko00020	K01677	Citrate cycle (TCA cycle)
ko00020	K01678	Citrate cycle (TCA cycle)
ko00020	K01679	Citrate cycle (TCA cycle)
ko00020	K01675	Citrate cycle (TCA cycle)
ko00020	K01774	Citrate cycle (TCA cycle)
ko00020	K00025	Citrate cycle (TCA cycle)
ko00020	K00026	Citrate cycle (TCA cycle)
ko00020	K00024	Citrate cycle (TCA cycle)
ko00020	K00116	Citrate cycle (TCA cycle)
ko00020	K01958	Citrate cycle (TCA cycle)
ko00020	K01959	Citrate cycle (TCA cycle)
ko00020	K01960	Citrate cycle (TCA cycle)
ko00020	K01610	Citrate cycle (TCA cycle)
ko00020	K01596	Citrate cycle (TCA cycle)
ko00020	K00163	Citrate cycle (TCA cycle)
ko00020	K00161	Citrate cycle (TCA cycle)
ko00020	K00162	Citrate cycle (TCA cycle)
ko00020	K00627	Citrate cycle (TCA cycle)
ko00020	K13997	Citrate cycle (TCA cycle)
ko00020	K00169	Citrate cycle (TCA cycle)
ko00020	K00170	Citrate cycle (TCA cycle)
ko00020	K00172	Citrate cycle (TCA cycle)
ko00020	K00189	Citrate cycle (TCA cycle)
ko00020	K00171	Citrate cycle (TCA cycle)
ko00020	K03737	Citrate cycle (TCA cycle)
ko00030	K01810	Pentose phosphate pathway
ko00030	K06859	Pentose phosphate pathway
ko00030	K13810	Pentose phosphate pathway
ko00030	K15916	Pentose phosphate pathway
ko00030	K00036	Pentose phosphate pathway
ko00030	K19243	Pentose phosphate pathway
ko00030	K01057	Pentose phosphate pathway
ko00030	K07404	Pentose phosphate pathway
ko00030	K13937	Pentose phosphate pathway
ko00030	K00033	Pentose phosphate pathway
ko00030	K01783	Pentose phosphate pathway
ko00030	K00615	Pentose phosphate pathway
ko00030	K00616	Pentose phosphate pathway
ko00030	K01807	Pentose phosphate pathway
ko00030	K01808	Pentose phosphate pathway
